,set_size,trial_num,method_num,space
208,100.0,34.0,4.0,2537.75
209,100.0,34.0,5.0,2523.1015625
210,100,35,0,3200
211,100,35,1,2800
212,100,35,2,1400
213,100.0,35.0,3.0,1616.25
214,100.0,35.0,4.0,2522.5
215,100.0,35.0,5.0,2512.734375
216,100,36,0,3200
217,100,36,1,2800
218,100,36,2,1500
219,100.0,36.0,3.0,1646.375
220,100.0,36.0,4.0,2546.75
221,100.0,36.0,5.0,2532.1015625
222,100,37,0,3200
223,100,37,1,2800
224,100,37,2,1500
225,100.0,37.0,3.0,1656.375
226,100.0,37.0,4.0,2565.75
227,100.0,37.0,5.0,2551.1015625
228,100,38,0,3200
229,100,38,1,2800
230,100,38,2,1700
231,100.0,38.0,3.0,1632.625
232,100.0,38.0,4.0,2548.25
233,100.0,38.0,5.0,2523.8359375
234,100,39,0,3200
235,100,39,1,2800
236,100,39,2,1600
237,100.0,39.0,3.0,1641.5
238,100.0,39.0,4.0,2554.0
239,100.0,39.0,5.0,2534.46875
240,100,40,0,3200
241,100,40,1,2800
242,100,40,2,1600
243,100.0,40.0,3.0,1633.5
244,100.0,40.0,4.0,2546.0
245,100.0,40.0,5.0,2526.46875
246,100,41,0,3200
247,100,41,1,2800
248,100,41,2,1700
249,100.0,41.0,3.0,1643.5
250,100.0,41.0,4.0,2556.0
251,100.0,41.0,5.0,2536.46875
252,100,42,0,3200
253,100,42,1,2800
254,100,42,2,1500
255,100.0,42.0,3.0,1588.25
256,100.0,42.0,4.0,2494.5
257,100.0,42.0,5.0,2484.734375
258,100,43,0,3200
259,100,43,1,2800
260,100,43,2,1600
261,100.0,43.0,3.0,1651.625
262,100.0,43.0,4.0,2567.25
263,100.0,43.0,5.0,2542.8359375
264,100,44,0,3200
265,100,44,1,2800
266,100,44,2,1600
267,100.0,44.0,3.0,1668.375
268,100.0,44.0,4.0,2577.75
269,100.0,44.0,5.0,2563.1015625
270,100,45,0,3200
271,100,45,1,2800
272,100,45,2,1600
273,100.0,45.0,3.0,1704.625
274,100.0,45.0,4.0,2620.25
275,100.0,45.0,5.0,2595.8359375
276,100,46,0,3200
277,100,46,1,2800
278,100,46,2,2000
279,100.0,46.0,3.0,1705.875
280,100.0,46.0,4.0,2627.75
281,100.0,46.0,5.0,2593.5703125
282,100,47,0,3200
283,100,47,1,2800
284,100,47,2,1700
285,100.0,47.0,3.0,1692.625
286,100.0,47.0,4.0,2608.25
287,100.0,47.0,5.0,2583.8359375
288,100,48,0,3200
289,100,48,1,2800
290,100,48,2,1500
291,100.0,48.0,3.0,1643.375
292,100.0,48.0,4.0,2552.75
293,100.0,48.0,5.0,2538.1015625
294,100,49,0,3200
295,100,49,1,2800
296,100,49,2,1800
297,100.0,49.0,3.0,1610.625
298,100.0,49.0,4.0,2526.25
299,100.0,49.0,5.0,2501.8359375
300,100,50,0,3200
301,100,50,1,2800
302,100,50,2,1800
303,100.0,50.0,3.0,1631.625
304,100.0,50.0,4.0,2547.25
305,100.0,50.0,5.0,2522.8359375
306,100,51,0,3200
307,100,51,1,2800
308,100,51,2,1700
309,100.0,51.0,3.0,1709.75
310,100.0,51.0,4.0,2628.5
311,100.0,51.0,5.0,2599.203125
312,100,52,0,3200
313,100,52,1,2800
314,100,52,2,1900
315,100.0,52.0,3.0,1687.75
316,100.0,52.0,4.0,2606.5
317,100.0,52.0,5.0,2577.203125
318,100,53,0,3200
319,100,53,1,2800
320,100,53,2,1600
321,100.0,53.0,3.0,1676.5
322,100.0,53.0,4.0,2589.0
323,100.0,53.0,5.0,2569.46875
324,100,54,0,3200
325,100,54,1,2800
326,100,54,2,1500
327,100.0,54.0,3.0,1667.375
328,100.0,54.0,4.0,2576.75
329,100.0,54.0,5.0,2562.1015625
330,100,55,0,3200
331,100,55,1,2800
332,100,55,2,1700
333,100.0,55.0,3.0,1626.5
334,100.0,55.0,4.0,2539.0
335,100.0,55.0,5.0,2519.46875
336,100,56,0,3200
337,100,56,1,2800
338,100,56,2,1800
339,100.0,56.0,3.0,1682.625
340,100.0,56.0,4.0,2598.25
341,100.0,56.0,5.0,2573.8359375
342,100,57,0,3200
343,100,57,1,2800
344,100,57,2,1700
345,100.0,57.0,3.0,1663.625
346,100.0,57.0,4.0,2579.25
347,100.0,57.0,5.0,2554.8359375
348,100,58,0,3200
349,100,58,1,2800
350,100,58,2,1700
351,100.0,58.0,3.0,1671.5
352,100.0,58.0,4.0,2584.0
353,100.0,58.0,5.0,2564.46875
354,100,59,0,3200
355,100,59,1,2800
356,100,59,2,1700
357,100.0,59.0,3.0,1696.625
358,100.0,59.0,4.0,2612.25
359,100.0,59.0,5.0,2587.8359375
360,100,60,0,3200
361,100,60,1,2800
362,100,60,2,1700
363,100.0,60.0,3.0,1693.625
364,100.0,60.0,4.0,2609.25
365,100.0,60.0,5.0,2584.8359375
366,100,61,0,3200
367,100,61,1,2800
368,100,61,2,1600
369,100.0,61.0,3.0,1663.5
370,100.0,61.0,4.0,2576.0
371,100.0,61.0,5.0,2556.46875
372,100,62,0,3200
373,100,62,1,2800
374,100,62,2,1400
375,100.0,62.0,3.0,1666.25
376,100.0,62.0,4.0,2572.5
377,100.0,62.0,5.0,2562.734375
378,100,63,0,3200
379,100,63,1,2800
380,100,63,2,1800
381,100.0,63.0,3.0,1650.75
382,100.0,63.0,4.0,2560.5
383,100.0,63.0,5.0,2531.203125
384,100,64,0,3200
385,100,64,1,2800
386,100,64,2,1600
387,100.0,64.0,3.0,1663.5
388,100.0,64.0,4.0,2576.0
